3 0.66 19.46 1.2 32.4 0.0 0.0 1.0 1.0
6 20.78 39.58 1.2 32.4 0.0 0.0 1.0 1.0
9 40.9 59.7 1.2 32.4 0.0 0.0 1.0 1.0
12 61.2 79.82 1.2 32.4 0.0 0.0 1.0 1.0
15 81.14 99.94 1.2 32.4 0.0 0.0 1.0 1.0
2 0.66 19.46 34.8 66.0 0.0 0.0 1.0 1.0
5 20.78 39.58 34.8 66.0 0.0 0.0 1.0 1.0
8 40.9 59.7 34.8 66.0 0.0 0.0 1.0 1.0
11 61.2 79.82 34.8 66.0 0.0 0.0 1.0 1.0
14 81.14 99.94 34.7 66.0 0.0 0.0 1.0 1.0
1 0.66 19.46 68.4 99.6 0.0 0.0 1.0 1.0
4 20.78 39.58 68.4 99.6 0.0 0.0 1.0 1.0
7 40.9 59.7 68.4 99.6 0.0 0.0 1.0 1.0
10 61.2 79.82 68.4 99.6 0.0 0.0 1.0 1.0
13 81.14 99.94 68.4 99.6 0.0 0.0 1.0 1.0
